Topic,Country,1391,1392,1393,1394,1395,1396,1387,1398,1399,1400,1401,1402,1403,1404
Car Accidents,Turkey,,,,7530,7300,7427,6675,5473,4866,5362,5229,6548,6351,
Car Accidents,US,"36,415","35,369","35,398","37,757","40,327","40,231","39,404","39,107","42,338","46,980","46,027","44,762",,
Car Accidents,EU,,24226,24136,24358,23808,23392,23327,22756,18830,19912,20652,20380,,
